id,denominacao_atual,endereco,bairro,distrito,secretaria,historico
131,EMEE ANNE SULLIVAN,R RODRIGUES PAIS 512,,SANTO AMARO,EDUCAÇÃO,"Anne Sullivan nasceu em 14 de abril de 1866, em Massachussets, EUA. Faleceu em 20 de outubro de 1936. Filha de Thomas Sullivan e Alice Closey Sullivan. Seu pai, imigrante irlandês, era um homem rude, ignorante, trabalhador braçal; sua mãe, mulher simples, frágil diante da pobreza em que viviam e do alcoolismo e agressividade do marido. Tiveram cinco filhos, dos quais Anne era a mais velha. Anne adquiriu tracoma aos 5 anos. Sem tratamento adequado, foi perdendo gradativamente a visão. Após a morte da mãe, aos 28 anos, por tuberculose, o pai tentou manter a família unida por dois anos. Depois disso, os filhos se dispersaram. Ninguém queria ficar com Anne e seu irmão Jimmie: o menino, porque era doente e mancava; Anne, porque era meio cega, malcriada, temperamental e indisciplinada. Anne, com 10 anos, e Jimmie, com 7, foram enviados para uma instituição do Estado, a Casa das Almas. As condições precárias do instituto não afetavam as duas crianças, que eram bem tratados por todos. Depois de três meses, Jimmie faleceu. Anne guardava um grande sonho, que era ir à escola para aprender a ler e escrever, mas sabia que precisava de muita ajuda para realizá-lo. Por ocasião da visita de Frank B. Sanborn, presidente do Conselho Estadual de Caridade de Massachussets à Casa das Almas, Anne manifestou a ele o desejo de sair daquele lugar. Em 7 de outubro de 1880, entrou na escola Perkins para Cegos – Perkins School for the Blind, de Massachussets, muito conceituado naquele país. Anne era uma criatura solitária, mas tinha tinha amigos no colégio. Entre eles, Laura Bridgman, com quem Anne aprendeu a “linguagem” que a faria ter seus primeiros contatos com Helen Keller. Anne se submeteu a uma cirurgia na vista (depois de muitas sem sucesso), que a fez enxergar um pouco melhor, o suficiente para ler a escrita comum. Anne graduou-se em 1886 e, sem recursos próprios para continuar os estudos, aceitou o convite do capitão Keller, por intermédio do diretor da Escola Perkins, para orientar sua filha surda-cega. Em três de maio de 1887, Anne faz o primeiro contato com Helen, com então quase 7 anos de idade. Anne disse: “Peguei a boneca, dei para Hellen e soletrei em sua mão DOOL (boneca); Hellen imitou os sinais e largou a boneca, sem compreender o significado”. Era sua primeira aula, a primeira lição de Helen Keller. Helen Keller, primeira surda-cega universitária, comunicando-se pela linguagem oral e pelo alfabeto manual para surdos, libertouse de seu isolamento. O que a professora Anne Sullivan fez para Helen Keller e o que as duas mulheres fizeram juntas deram espaço para os surdos-cegos do mundo todo terem a oportunidade de ampliar seus horizontes. Anne casou-se no dia 3 de maio de 1905, com John A. Macy, crítico literário que colaborou muito no seu trabalho com Hellen Keller, lendo e orientando as redações da aluna. Conhecida mundialmente, Anne só teve um aluna, mas, com essa aluna, foi aclamada como a maior professora de todos os tempos, modelo de estímulo para todos os professores que trabalham com surdos-cegos."
132,EMEE HELEN KELLER,R PEDRA AZUL 314,,VILA MARIANA,EDUCAÇÃO,"Helen Keller nasceu em 27 de junho de 1880, em Tuscumbia, Estado do Alabama, EUA. Era filha de Arthur Keller e Kate Adams Keller. Com 19 meses, teve uma febre cerebral que a deixou cega e surda. Até os 7 anos, nada percebia do que se passava ao seu redor. Os pais de Helen consultaram grandes médicos da época, mas suas esperanças foram se diluindo. Solicitaram auxílio a Alexander Graham Bell, que simpatizou com a menina. Pela popularidade que alcançou com seu trabalho pelos surdos, usando de seu prestígio junto ao Instituto Perrkins de Boston, conseguiu que esse Instituto se interessasse por Helen. A professora Anne Sullivan, que havia perdido a visão quando criança e que a recuperou por meio de uma cirurgia, aceitou o encargo de tentar educar a menina. Em 1887, Anne Sullivan chegou em Tuscumbia para morar na casa de Helen, como sua preceptora. Sua missão foi espinhosa, porém iniciou a educação da menina por meio da linguagem de sinais, que ia soletrando nas mãos de Helen, sobre tudo que a rodeava. Ela assimilou os sinais rapidamente. Sob a orientação da professora, a menina matriculou-se no Instituto Horace Mann para surdos, em Boston, e depois na Escola Wright-Humason oral de Nova Iorque, onde recebeu lições de linguagem falada e leitura labial. Demonstrou, nesse percurso, excepcional eficiência no estudo das disciplinas do currículo regular. Em 1889, foi para a escola Cambridge para moças; em 1990, para a Universidade Radcliffe, onde recebeu seu diploma de bacharel em Filosofia, em 1904. Durante todo o período de estudante, a professora Anne Sullivan foi sua orientadora, transmitindo-lhe as aulas por meio do alfabeto manual e em Braille, assim como aulas de Francês, Latim e Alemão. Em 1902, Helen Keller estreou na literatura com seu livro autobiográfico A História de Minha Vida. Escreveu outros, que foram transcritos em várias línguas. Também no jornalismo destacou-se com uma série de artigos publicados no Ladies Home Journal. Durante sua vida, recebeu numerosos prêmios em reconhecimento ao estímulo que seu exemplo de vida deu aos trabalhos para cegos nos países que visitou, tais como Brasil, Japão, Filipinas e Líbano. Helen Keller faleceu em 1º de junho de 1968."
133,EMEE ME. LUCIE BRAY,R SAO GERALDINO 236,,JAÇANÃ,EDUCAÇÃO,"Irmã Lucie Bray, nascida na França em 28 de fevereiro de 1886, veio ao Brasil em 1929. Deixou a pátria natal para iniciar uma escola para crianças surdas, pois naquela época havia no Brasil apenas uma, que funcionava no Rio de Janeiro. O bispo de Campinas (SP), dom Francisco de Campos Barreto, desejoso de dar assistência aos surdos, apelou para as irmãs de Nossa Senhora do Calvário que dirigiam o Colégio Sagrado Coração de Jesus. A coordenadora, irmã Maria Santa Inês, resolveu enviar duas irmãs brasileiras para a França, a fim de se especializarem no ramo. Uma vez na França, as brasileiras juntaram-se à irmã Lucie Bray e mais uma companheira, todas da mesma Congregação das Irmãs de Nossa Senhora do Calvário. Durante quatro anos estudaram e estagiaram no Instituto Nacional de Paris para Surdos. Retornaram ao Brasil, coordenadas pela irmã Lucie Bray, em 8 de fevereiro de 1929. Estvam formadas, com certificado e registro de ensino especial, o que as qualificava para o ensino com surdos. Com seus certificados de aptidão pedagógica do 1º grau ao grau superior, irmã Lucie Bray iniciou seus trabalhos junto aos surdos na cidade de Campinas, com o nome de Instituto Santa Terezinha. Perseverante, dinâmica, determinada e mulher de fé, levada por um grande amor pelos surdos, Lucie Bray trouxe o Instituto Santa Terezinha para São Paulo. Preparava e coordenava as professoras iniciantes, pelo método de ensino aos surdos, que, na época, era oral-analítico. Foram 40 anos de luta incansável, construindo o prédio próprio, educando e promovendo centenas de surdos, vencendo dificuldades, inclusive as hostilidades da Revolução de 1932, que obrigou a entidade a mandar para casa os alunos que residiam mais perto e esconder os que moravam muito longe, provenientes de outros Estados, para que ficassem protegidos dos bombardeios. Já muito cansada, Lucie Bray faleceu no dia 9 de maio de 1968, em Campinas. Irmã Lucie dedicou a vida para assegurar importantes construções e assentar sua obra sobre bases sólidas e pelo seu exemplo deixado."
134,EMEE PROFESSOR MARIO PEREIRA BICUDO,AV FELIX ALVES PEREIRA S/N,,CACHOEIRINHA,EDUCAÇÃO,
137,EMEF DEZENOVE DE NOVEMBRO,PRAÇA BAUXITA 99,,VILA MATILDE,EDUCAÇÃO,
138,EMEF VINTE E DOIS DE MARÇO,R FRANCISCO SOARES 51,,CAMPO LIMPO,EDUCAÇÃO,
139,EMEF OITO DE MAIO,R CAMBAXIRRA 176,,ITAQUERA,EDUCAÇÃO,"Considerando o transcurso do 25º aniversário da vitória dos Aliados na 2ª Grande Guerra Mundial, com a participação decisiva da Fôrça Expedicionária Brasileira, e Considerando que os feitos da F.E.B. e os atos de heroísmo do soldado brasileiro devem ser transmitidos as novas gerações como parte da educação cívica."
141,EMEF DESEMBARGADOR ACHILLES DE OLIVEIRA RIBEIRO,R SAO JOAO DO PARAISO 57,,SAO MATEUS,EDUCAÇÃO,"O desembargador Achilles de Oliveira Ribeiro nasceu em 15 de abril de 1873, em São Paulo. Bacharelou-se em Direito na Faculdade de Recife. Foi transferido para São Paulo, onde galgou todos os degraus da magistratura. Foi promotor público, juiz de Direito e presidente do Tribunalde Apelação, onde prestou relevantes serviços. Aposentou-se em 1940. Pertencia à tradicional família de Sergipe, mas muito jovem fixou residência no Estado de São Paulo, iniciando sua carreira na cidade paulista de Rio Claro, onde exerceu com brilho a advocacia e se casou com Concórdia de Oliveira Ribeiro. Entrou na magistratura e conquistou o mais elevado posto desta carreira, ocupando, durante vários anos, o cargo de presidente do Tribunal de Apelação. Faleceu em São Paulo, aos 74 anos, no dia 7 de janeiro de 1947, deixando oito filhos e vários netos."
142,EMEF PREFEITO ADHEMAR DE BARROS,R GIOVANNI AMADEO 187,,CAMPO LIMPO,EDUCAÇÃO,"Nascido em Piracicaba (SP), no dia 22 de abril de 1901, desde os tempos de estudante destacou-se como líder. Ainda jovem, estudando, recebeu a láurea Visconde Saboya e, mais tarde, a medalha de ouro da Faculdade de Medicina do Rio de Janeiro, pelos destaques conseguidos entre os alunos de sua turma. Formou-se médico em 1923 e fez cursos de aperfeiçoamento no Instituto Oswaldo Cruz e em hospitais de Paris, Berlim, Londres e nos EUA, com grande aproveitamento, uma vez que dominava vários idiomas. Foi casado com Leonor Mendes de Barros. A tradição política de Adhemar de Barros, criador do extinto PSP, subsiste, apesar dos anos das grandes mudanças ocorridas no País, graças à atuação de seu filho, Adhemar de Barros Filho, eleito deputado federal em vários pleitos. Adhemar de Barros simbolizou uma época e uma geração política emergida da Revolução de 1930, quando acentuou o processo de industrialização, e novos rumos caracterizaram a sociedade brasileira.  De seus 15 anos de efetiva ação, em postos executivos, basta apenas a citação de alguns empreendimentos, para que se veja a influência que exerceu na vida de seu Estado. Sua atuação política é marcante, tomando posições mesmo nos momentos mais cruciais da realidade brasileira, desde a Revolução Constitucionalista de 1932, que assinalou o início de sua carreira, passando por 1947, quando elegeu-se governador de São Paulo, ou quando eclodiu a Revolução de 31 de Março de 1964, quando resolveu marchar contra o Governo Federal, em combinação com o general Amaury Kruel. Em 1966, mostrou muita coragem, ao criticar e pedir a renúncia de Castelo Branco, para passar o governo ao marechal Dutra. Neste ano, encerrou sua vida pública. Suas principais obras foram as construções da Via Anhanguera, da Via Anchieta, do Hospital das Clínicas, do Hospital Pênfigo Foliáceo, do Instituto do Câncer, do Hospital do Sapecado, da Secretaria da Saúde, na Av. São Luís, da Secretaria da Fazenda, na Av. Rangel Pestana, da Secretaria da Segurança Pública, na Av. Brigadeiro Tobias, do Banespa, na Praça Antônio Prado, da Nossa Caixa, na Rua XV de Novembro e do Aeroporto de Congonhas. Foi interventor federal no Estado de São Paulo, em substituição a Armando de Salles Oliveira, em 1938, e, graças à sua administração, elegeu-se governador em 1947. Não conseguiu eleger-se presidente de República. A administração Adhemar de Barros, em conjunto, deu a São Paulo 21 mil leitos hospitalares, 20 mil classes primárias, mais de cem escolas de 1º e 2º graus e cerca de 1.500 quilômetros de novas rodovias, inclusive os 130 primeiros quilômetros da Rodovia do Oeste, hoje Castelo Branco. Adhemar de Barros faleceu em Paris, no dia 12 de março de 1969, com 68 anos de idade."
143,EMEF PROFESSOR ADOLPHO OTTO DE LAET,R ISIDORO DE LAET 165,,SANTANA,EDUCAÇÃO,"Adolpho Otto de Laet foi o primogênito de Isidoro Adolpho de Laet (belga) e Anna Margarida Hene de Laet (brasileira), nascido no dia 7 de agosto de 1893 e registrado em 15 de novembro de 1893. Nasceu no bairro paulistano da Aclimação, onde seu pai, juntamente com Carlos Botelho, “traçavam” o Jardim da Aclimação. O sobrenome Otto foi herdado de seu padrinho alemão. Passou a infância e a juventude no bairro do Mandaqui, propriedade de Arnaldo Vieira de Carvalho, onde seu pai era administrador. Foi alfabetizado na Escola Isolada Alto de Sant’Anna, completou o curso primário na Escola Americana, que funcionava junto ao Colégio Mackenzie. Cursou o ginásio na mesma escola e completou os cursos de Engenharia Civil e Química Industrial, diplomando-se em 1914. Ficou lecionando, a convite, na própria escola. Em 20 de junho de 1921, casou-se com a professora Maria Angelita Sayago, indo residir no bairro da Luz. Em 1922, fundou a Cia. de Argilas Industriais Ltda., da qual era sócio e diretor técnico, até 1952, quando foi sucedida pela Aremita S.A.. Essa empresa. promoveu a exploração dos grandes depósitos de argila absorvente e argila refratária que existiam. Em 1923, deixou o magistério, transferindo-se para o Guapira (naquela época um lugar afastado do Centro), com a esposa e a filha Anna Margarida, de apenas 6 meses. Ele e a esposa, católicos praticantes, passaram a dedidar-se às obras da Paróquia de Santa Terezinha do Menino Jesus. Em terreno doado pelos Vieira de Carvalho e pequena quantia de dinheiro ofertada pela mãe dele, Ana Margarida, foi possível iniciar as obras da capela, na av. Guapira. Auxiliaram o Asilo de Inválidos Dom Pedro II, do patrimônio da Santa Casa, e as obras sociais das irmãs São José e padres Camilianos. Participou das reuniões, sob a liderança do capitão Nascimento, quando decidiram a mudança do nome do bairro de Guapira para Jaçanã. Em 1935, voltou a lecionar na Escola de Engenharia Mackenzie e no Colégio Universitário da Escola Politécnica de São Paulo. Encerrando suas atividades industriais, em 1940, prestou concurso, apresentando tese e tornando-se lente catedrático de Química Orgânica e Elementos de Bioquímica e, ainda, assistente do professor A. Cownly Slate, na cadeira de Geologia e Mineralogia. Durante o governo de Juscelino, fez levantamentos sobre os minérios radioativos do Brasil, cujo relatório mereceu elogios do presidente, em carta de próprio punho. Recebeu os títulos de irmão benfeitor da Santa Casa de Misericórdia de São Paulo e de lente catedrático da Escola de Engenharia Mackenzie. Foi membro das seguintes associações científicas e profissionais: Instituto de Engenharia de São Paulo, Associação Brasileira de Química, Sociedade Brasileira de Geologia, Associação Brasileira de Normas Técnicas, American Chemical Society, American Association for the Advancement of Science, Soil Science Society of America e American Society of Agronomy. Sua esposa faleceu em 31 de julho de 1967. Mesmo assim, lecionou até dezembro de 1967, participando dos exames finais, pois não desejava aposentar-se. Em Fevereiro de 1968, participou, emocionado, da inauguração do Grupo Escolar Professora Maria Angelita Sayago de Laet, cuja vida foi também toda dedicada ao magistério. Faleceu em São Paulo, no dia 19 de abril de 1968."
144,EMEF DOUTOR AFRANIO DE MELLO FRANCO,R ACAMBARO 39,,CAPELA DO SOCORRO,EDUCAÇÃO,"Considerou-se: ""(..) que aos 25 de fevereiro de 1970 comemorou-se o centenário de nascimento de Afrânio de Mello Franco; foi pacificador de Letícia, impediu a guerra entre duas nações sul-americanas, Peru e Colômbia, um dos maiores feitos na diplomacia americana; como Delegado do Brasil no Conselho da Sociedade das Nações, elaborou a doutrina das minorias étnicas; como Deputado Federal foi relator geral do Código Civil na sua última fase e, durante a conflagração européia, foi relator geral das leis de guerra discutidas no Parlamento tendo sido um notável professor de Direito Público.."""
145,EMEF PROFESSOR AIRTON ARANTES RIBEIRO,R FREI LUIS BELTRAO 5,,JARDIM SÃO LUIS,EDUCAÇÃO,"Airton Arantes Ribeiro nasceu no dia 10 de janeiro de 1929, em São Paulo (SP). Era filho de Carlos Pinto Ribeiro e Dulce Arantes Ribeiro. Iniciou os seus estudos em Bauru (SP), onde passou a infância, e completou o primeiro grau no Colégio Paes Leme, no Colégio Rio Branco e na Escola Caetano de Campos, na Capital. Em 20 de janeiro de 1950, recebeu o diploma de conclusão do Curso de Formação Profissional de Professor, pela Escola Normal Livre Ipiranga. Em 30 de junho de 1951, iniciou sua carreira no magistério oficial do Estado de São Paulo, como substituto efetivo na EEPSG Amadeu Amaral, no bairro paulistano do Belém, onde permaneceu até 11 de dezembro de 1956. Em 19 de novembro de 1956, foi nomeado professor primário, lotado na Escola Masculina Municipal de Indianápolis. Lecionou, a seguir, numa sala por ele alugada à Avenida Guilherme Cotching, Vila Maria, na imediações de onde se acha instalada atualmente a EEPG João Vieira de Almeida. A partir de 1957, exerceu diversas funções no ensino municipal. Foi inspetor de divisão de ensino da Secretaria Municipal de Educação e Cultura, inspetor de ensino primário, inspetor regional e encarregado do Setor de Educação e Cultura na Administração Regional da Freguesia do Ó. Em 1972, recebeu o diploma de Licenciatura Plena em Pedagogia, pela Faculdade de Filosofia, Ciências e Letras Braz Cubas, de Mogi das Cruzes (SP), nas habilitações Supervisão Escolar de 1º e 2º Graus; Psicologia da Educação - 2º Grau; Sociologia da Educação - 2º Grau. Em 1977, concluiu mais uma habilitação em Pedagogia: Inspeção Escolar, na Faculdade de Filosofia, Ciências e Letras de São Caetano do Sul (SP). Um anos depois, na mesma instituição, concluiu a última habilitação em Pedagogia: Administração Escolar. Foi, então, designado para proceder a avaliação do processo escolar desenvolvido pelo Mobral e assinatura dos certificados de conclusão dos cursos ministrados, de conformidade com os termos de cooperação firmado entre a Secretaria Municipal de Educação e a Coordenadoria do Bem Estar Social. Exerceu, em seguida, o cargo de supervisor regional de Educação, até a data do falecimento, no dia 6 de julho de 1982, aos 53 anos."
146,EMEF ALBERTO SANTOS DUMONT,R TENENTE SOTOMANO 1920,,VILA MEDEIROS,EDUCAÇÃO,"Alberto Santos Dumont nasceu no dia 20 de julho de 1873, na Fazenda Cabangu, perto da cidade de Palmira (MG), que mais tarde passou a se chamar Santos Dumont. De origem francesa por parte dos avós paternos, Santos Dumont tinha mais sete irmãos. Embora tenha sido o único a não completar curso superior, foi o mais ilustre deles. Desde muito cedo, demonstrou grande disposição para a conquista do ar. Suas leituras prediletas foram as obras de Júlio Verne, que deixavam-no submerso num mundo de imaginação sem limites. Revelou também, desde pequeno, uma acentuada tendência para a mecânica. Na fazenda de café, que o pai comprara em Ribeirão Preto (SP), então com 12 anos, tinha permissão para dirigir as locomotivas Baldwin, que puxavam os trens de transporte de café, nas linhas férreas acentadas entre os cafeeiros. Com 18 anos, Santos Dumont passou a residir em Paris (França), em companhia de parentes. Seu primeiro professor, um hábil francês de origem espanhola, ensinou a ele as primeiras noções de Física, Química, Eletricidade e Mecânica. Dedicou-se inteiramente ao automobilismo, face a seu profundo interesse em mecânica. Posteriormente, ainda influenciado pelas leituras de Júlio Verne, pelo processo da aerostação na França e pelo indisfarçável desejo de voar, acabou por entregar-se aos vôos em balões livres. A alegria e a emoção com que ficou possuído ao subir aos espaços, pela primeira vez, a bordo de balão, são facilmente identificáveis em seu livro Os meus balões, com referência a esse acontecimento marcante em sua vida. Santos Dumont criou seu primeiro balão em Paris em 1897. A partir daí, resolveu dedicar-se aos seus balões, mandando construir o primeiro, ao qual deu o nome de Brasil. Em 1898, decidiu utilizar motores a gasolina nos balões, para que pudessem subir. Conseguiu manter a dirigibilidade em 1899, quando construiu seu terceiro balão. Em 1900, construiu o quarto. O quinto foi de encontro a um prédio de Paris, explodindo imediatamente. Foram muitas experiências até chegar ao sucesso com o 14 Bis, em 23 de outubro de 1906, o primeiro vôo mecânico do mundo. De 1907 a 1909, trabalhou nos quatro tipos de aviões Demoiselle, que eram aviões pequenos e transparentes, chamados pelos franceses de Libelule. Em 18 de setembro de 1909, Santos Dumont realizou seu último vôo como piloto. A utilização de seu invento, na Primeira Guerra Mundial, porém, abalou-lhe os nervos, pois culpava-se pela mortandade ocasionada pelos ataques aéreos. Faleceu no dia 23 de julho de 1932, no Brasil. Sua importância não se resume apenas à aviação. Graças a seu espírito criativo e inventivo, imaginou e construiu o primeiro hangar do mundo, planejou e construiu um arpão para salvar vítimas em caso de afogamentos; imaginou um pequeno motor que servia para facilitar os alpinistas nas escaladas das montanhas; idealizou o relógio de pulso, entre outros inventos. Foi cognominado Pai da aviação."
147,EMEF ALCEU AMOROSO LIMA,R CARMEM TORTOLA 26,,SÃO RAFAEL,EDUCAÇÃO,"Alceu Amoroso Lima nasceu no dia 11 de dezembro de 1893, no Rio de Janeiro. Faleceu no dia 26 de julho de 1983, em Petrópolis (RJ). Tornou-se o grande líder dos homens de letras, sociólogos, filósofos e cientistas do Brasil, fazendo de seus escritos e de sua palavra os instrumentos de seu apostolado. Inteligência privilegiada e estudioso incansável, soube acompanhar o desenvolvimento da ciência e a atualização da Igreja, conservando seu espírito sempre jovem. É considerado pela Academia Brasileira de Letras como um dos maiores críticos literários brasileiros do século XX. Como crítico literário, Alceu desempenhou o papel de grande “codificador do Modernismo”, aquele que se propôs a oferecer “uma disciplina intelectual à atividade caótica dos modernistas”. As gerações mais novas conhecem um comentador dos assuntos da filosofia e da religião, ou o adversário implacável do regime de 1964, nos artigos semanais que publicava no Jornal do Brasil e na Folha de S. Paulo. Formou-se em Direito e sempre pautou-se pela extraordinária comprensão do outro, do contrário, tanto no campo político quanto no cultural. Teve, por exemplo, muita sensibilidade para aceitar os movimentos juvenis dos anos 60 e 70 e acuidade para ser o grande crítico da revolução modernista de 1922. Amoroso Lima casou-se com Maria Teresa de Faria, irmã do romancista Octavio de Faria. Com ela, viveria 64 anos, até a sua morte. O casal teve sete filhos. Outro foi o nascimento do crítico literário em 1919, quando Alceu foi convidado a colaborar no recém-nascido O Jornal, do Rio. Surgiu, aí, o Tristão de Athayde com que sempre assinaria os seus escritos. Outro momento importante foi ainda a sua conversão ao catolicismo em 1928, aos 34 anos, pelas mãos de um influente intelectual dos anos 20, Jackson de Figueiredo, com quem se correspondeu por seis anos seguidos. Falava que a fé foi produto do seu impulso de sentir o amor, de entender o amor. Com ardor de convertido, entregou se ao apostolado pondo a serviço da fé e da causa da Igreja sua cultura e sua vida, buscando o respeito e dignidade ao ser humano e uma sociedade justa. Esteve sempre em sintonia com a hierarquia eclesiastica, com as encíclicas papais e com os pensadores católicos. O papa Paulo VI, ao reconhecer em Alceu o primeiro leigo da América Latina, pedia-lhe, sobretudo na Comissão de Justiça e Paz, de que foi membro fundador, que se pusesse a serviço dos sinais dos tempos. Devemos a Alceu o intelectual crítico do Modernismo, o descobridor da importância de A Bagaceira, de José Américo de Almeida, e de O Quinze, de Rachel de Queiroz, e o transformador do Centro Dom Vital no primeiro núcleo do pensamento brasileiro. Além disso, divisou sobre a Igreja em mudança a tensão entre o Estado e a sociedade. É o homem do pluralismo social, aquele que, nestes anos próximos a nós (década de 90), falou sobre autonomia e o papel crítico da universidade do nosso tempo, defendeu a raiz sindical das formações políticas e a necessidade de uma política pluralista para o Brasil em abertura."
148,EMEF GENERAL ALCIDES GONÇALVES ETCHEGOYEN,R ADHERBAL STRESSER 686,,RAPOSO TAVARES,EDUCAÇÃO,"O General Alcides Gonçalves Etchegoyen nasceu em 31 de março de 1901, em Porto Alegre (RS). Pertencendo a uma ilustre família gaúcha, desde os seus primeiros anos de vida demonstrou inclinação para a carreira militar. Em 8 de março de 1918, com apenas 17 anos, ingressou no militarismo, de onde saiu aspirante em 19 de janeiro de 1921. Em 11 de março do mesmo ano, foi promovido ao posto de segundo-tenente e, em 7 de setembro de 1922, foi classificado primeirotenente. Oito anos depois, em 15 de novembro de 1930, foi promovido a capitão-de-artilharia, permanecendo neste posto até 20 de fevereiro de 1933, quando, por merecimento, foi promovido ao posto de major. Em 1938, no dia 3 de maio, foi promovido a tenentecoronel, posto onde o foi buscar o presidente da República para ocupar o cargo de chefe de polícia do Distrito Federal. Deixou o cargo em 20 de agosto de 1943, já promovido a coronel. Fazendo justiça ao valor e à operosidade de seu auxiliar, o presidente Getúlio Vargas enviou-lhe uma honrosa carta, na qual, muito contra sua vontade, concedia-lhe a demissão de chefe de polícia do Distrito Federal. O coronel Etchegoyen conseguiu todas as suas promoções por merecimento, inclusive as que se seguiram ao generalado, pois prestou serviços de grande valor, destacando-se, entre eles, o da Revolução de São Paulo. Também, alcançou a chefia do Estado Maior da 3ª Região Militar, no período crítico de 15 de novembro de 1930 a 10 de setembro de 1931. A chefia da Primeira Seção compreendeu o período de 8 de outubro de 1931 a 5 de março de 1932. Ocupou diversas funções de gabinete e de comando. Na vida civil, foi chefe de polícia no período da presidência de Getúlio Vargas e presidente do Clube Militar. Recebeu a Medalha de Prata, o que lhe atestava 20 anos de bons serviços prestados à Pátria. Faleceu em 17 de junho de 1956, no Hospital Central do Exército, no Rio de Janeiro. Seu corpo foi transladado para a sede do Clube Militar, onde foi velado, tendo a família dispensado as honras militares. O sepultamento foi feito no dia seguinte, no Cemitério São João Batista."
